Frame,Timestamp,Raw Occupancy (%),Smoothed Occupancy (%),Traffic Level,Vehicles in ROI
288,2026-07-12 15:26:28.517,0.0,0.0,Low,0
289,2026-07-12 15:26:28.609,0.0,0.0,Low,0
290,2026-07-12 15:26:28.700,0.0,0.0,Low,0
291,2026-07-12 15:26:28.792,0.0,0.0,Low,0
292,2026-07-12 15:26:28.897,0.0,0.0,Low,0
293,2026-07-12 15:26:29.002,0.0,0.0,Low,0
294,2026-07-12 15:26:29.113,0.0,0.0,Low,0
295,2026-07-12 15:26:29.213,0.0,0.0,Low,0
296,2026-07-12 15:26:29.314,0.0,0.0,Low,0
297,2026-07-12 15:26:29.413,0.0,0.0,Low,0
298,2026-07-12 15:26:29.502,0.0,0.0,Low,0
299,2026-07-12 15:26:29.588,0.0,0.0,Low,0
300,2026-07-12 15:26:29.675,0.0,0.0,Low,0
301,2026-07-12 15:26:29.769,0.0,0.0,Low,0
302,2026-07-12 15:26:29.878,0.0,0.0,Low,0
303,2026-07-12 15:26:30.027,0.0,0.0,Low,0
304,2026-07-12 15:26:30.136,0.0,0.0,Low,0
305,2026-07-12 15:26:30.295,0.0,0.0,Low,0
306,2026-07-12 15:26:30.421,0.0,0.0,Low,0
307,2026-07-12 15:26:30.536,0.0,0.0,Low,0
308,2026-07-12 15:26:30.650,0.0,0.0,Low,0
309,2026-07-12 15:26:30.761,0.0,0.0,Low,0
310,2026-07-12 15:26:30.875,0.0,0.0,Low,0
311,2026-07-12 15:26:30.983,0.0,0.0,Low,0
312,2026-07-12 15:26:31.090,0.0,0.0,Low,0
313,2026-07-12 15:26:31.199,0.0,0.0,Low,0
314,2026-07-12 15:26:31.307,0.0,0.0,Low,0
315,2026-07-12 15:26:31.415,0.0,0.0,Low,0
316,2026-07-12 15:26:31.525,0.0,0.0,Low,0
317,2026-07-12 15:26:31.629,0.0,0.0,Low,0
318,2026-07-12 15:26:31.730,0.0,0.0,Low,0
319,2026-07-12 15:26:31.837,0.0,0.0,Low,0
320,2026-07-12 15:26:31.958,0.0,0.0,Low,0
321,2026-07-12 15:26:32.062,0.0,0.0,Low,0
322,2026-07-12 15:26:32.168,0.0,0.0,Low,0
323,2026-07-12 15:26:32.281,0.0,0.0,Low,0
324,2026-07-12 15:26:32.387,0.0,0.0,Low,0
325,2026-07-12 15:26:32.511,0.0,0.0,Low,0
326,2026-07-12 15:26:32.621,0.0,0.0,Low,0
327,2026-07-12 15:26:32.728,0.0,0.0,Low,0
328,2026-07-12 15:26:32.834,0.0,0.0,Low,0
329,2026-07-12 15:26:32.950,0.0,0.0,Low,0
330,2026-07-12 15:26:33.064,0.0,0.0,Low,0
331,2026-07-12 15:26:33.175,0.0,0.0,Low,0
332,2026-07-12 15:26:33.278,0.0,0.0,Low,0
333,2026-07-12 15:26:33.384,0.0,0.0,Low,0
334,2026-07-12 15:26:33.498,0.0,0.0,Low,0
335,2026-07-12 15:26:33.603,0.0,0.0,Low,0
336,2026-07-12 15:26:33.706,0.0,0.0,Low,0
337,2026-07-12 15:26:33.811,0.0,0.0,Low,0
338,2026-07-12 15:26:33.911,0.0,0.0,Low,0
339,2026-07-12 15:26:34.013,0.0,0.0,Low,0
340,2026-07-12 15:26:34.117,0.0,0.0,Low,0
341,2026-07-12 15:26:34.219,0.0,0.0,Low,0
342,2026-07-12 15:26:34.326,0.0,0.0,Low,0
343,2026-07-12 15:26:34.431,0.0,0.0,Low,0
344,2026-07-12 15:26:34.585,0.0,0.0,Low,0
345,2026-07-12 15:26:34.694,0.0,0.0,Low,0
346,2026-07-12 15:26:34.804,0.0,0.0,Low,0
347,2026-07-12 15:26:34.911,0.0,0.0,Low,0
348,2026-07-12 15:26:35.011,0.0,0.0,Low,0
349,2026-07-12 15:26:35.113,0.0,0.0,Low,0
350,2026-07-12 15:26:35.214,0.0,0.0,Low,0
351,2026-07-12 15:26:35.324,0.0,0.0,Low,0
352,2026-07-12 15:26:35.450,0.0,0.0,Low,0
353,2026-07-12 15:26:35.562,0.0,0.0,Low,0
354,2026-07-12 15:26:35.665,0.0,0.0,Low,0
355,2026-07-12 15:26:35.765,0.0,0.0,Low,0
356,2026-07-12 15:26:35.867,0.0,0.0,Low,0
357,2026-07-12 15:26:35.970,0.0,0.0,Low,0
358,2026-07-12 15:26:36.070,0.0,0.0,Low,0
359,2026-07-12 15:26:36.171,0.0,0.0,Low,0
360,2026-07-12 15:26:36.276,0.0,0.0,Low,0
361,2026-07-12 15:26:36.376,0.0,0.0,Low,0
362,2026-07-12 15:26:36.478,0.0,0.0,Low,0
363,2026-07-12 15:26:36.588,0.0,0.0,Low,0
364,2026-07-12 15:26:36.691,0.0,0.0,Low,0
365,2026-07-12 15:26:36.790,0.0,0.0,Low,0
366,2026-07-12 15:26:36.893,0.0,0.0,Low,0
367,2026-07-12 15:26:36.998,0.0,0.0,Low,0
368,2026-07-12 15:26:37.101,0.0,0.0,Low,0
369,2026-07-12 15:26:37.201,0.0,0.0,Low,0
370,2026-07-12 15:26:37.304,0.0,0.0,Low,0
371,2026-07-12 15:26:37.415,0.0,0.0,Low,0
372,2026-07-12 15:26:37.525,0.0,0.0,Low,0
373,2026-07-12 15:26:37.629,0.0,0.0,Low,0
374,2026-07-12 15:26:37.728,0.0,0.0,Low,0
375,2026-07-12 15:26:37.831,0.0,0.0,Low,0
376,2026-07-12 15:26:37.931,0.0,0.0,Low,0
377,2026-07-12 15:26:38.032,0.0,0.0,Low,0
